DEBUG : 17-02-2021 18:11:58.679 -  [<module>]- ['Arcade Hits: Frisky Tom', 'PS', 'Action', 'Hamster Corporation']
DEBUG : 17-02-2021 18:11:58.679 -  [<module>]- ['Madballs in Babo:Invasion', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.680 -  [<module>]- ['HellAngel', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.680 -  [<module>]- ['PIGMENTUM', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.680 -  [<module>]- ['Domina', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.680 -  [<module>]- ['Trouble In The Manor', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.680 -  [<module>]- ['Dynasty Warriors', 'PS', 'Action', 'KOEI']
DEBUG : 17-02-2021 18:11:58.680 -  [<module>]- ["Tiny Toon Adventures: Plucky's Big Adventure", 'PS', 'Action', 'Conspiracy Entertainment']
DEBUG : 17-02-2021 18:11:58.680 -  [<module>]- ['Orbital Gear', 'PC', 'Action', 'Night Node Software']
DEBUG : 17-02-2021 18:11:58.680 -  [<module>]- ['Desolate Wastes: Vendor Chronicles', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.681 -  [<module>]- ['Germ Wars', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.681 -  [<module>]- ['Dead Rising 2: Off the Record', 'PC', 'Action', 'Capcom']
DEBUG : 17-02-2021 18:11:58.681 -  [<module>]- ["Assassin's Creed Syndicate", 'PC', 'Action', 'Ubisoft']
DEBUG : 17-02-2021 18:11:58.681 -  [<module>]- ['Dishonored 2', 'PC', 'Action', 'Bethesda Softworks']
DEBUG : 17-02-2021 18:11:58.681 -  [<module>]- ['Deep Space Dash', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.681 -  [<module>]- ['Hyper color ball', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.681 -  [<module>]- ['Rampage Knights', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.682 -  [<module>]- ['The Incredible Adventures of Van Helsing II', 'PC', 'Action', 'Neocore Games']
DEBUG : 17-02-2021 18:11:58.682 -  [<module>]- ["Grand Pigeon's Duty", 'PC', 'Action', 'WolfgangIs']
DEBUG : 17-02-2021 18:11:58.682 -  [<module>]- ['The Powerpuff Girls: Chemical X-Traction', 'PS', 'Action', 'BAM! Entertainment']
DEBUG : 17-02-2021 18:11:58.682 -  [<module>]- ['Spikit', 'PC', 'Action', 'Back To Basics Gaming']
DEBUG : 17-02-2021 18:11:58.682 -  [<module>]- ['Shadow Man', 'PS', 'Action', 'Acclaim Entertainment']
DEBUG : 17-02-2021 18:11:58.682 -  [<module>]- ['LEGO Star Wars III: The Clone Wars', 'PC', 'Action', 'LucasArts']
DEBUG : 17-02-2021 18:11:58.682 -  [<module>]- ['RADical ROACH Remastered', 'PC', 'Action', 'DL Softworks']
DEBUG : 17-02-2021 18:11:58.683 -  [<module>]- ['Spawn the Eternal', 'PS', 'Action', 'Sony Computer Entertainment']
DEBUG : 17-02-2021 18:11:58.683 -  [<module>]- ["Army Men: Sarge's Heroes 2", 'PS', 'Action', '3DO']
DEBUG : 17-02-2021 18:11:58.683 -  [<module>]- ['Enslaved: Odyssey to the West', 'PC', 'Action', 'Bandai Namco Entertainment']
DEBUG : 17-02-2021 18:11:58.683 -  [<module>]- ['G-Police', 'PS', 'Action', 'Sony Computer Entertainment']
DEBUG : 17-02-2021 18:11:58.683 -  [<module>]- ['Minimum', 'PC', 'Action', 'Atari']
DEBUG : 17-02-2021 18:11:58.683 -  [<module>]- ['Iron Sky: Invasion', 'PC', 'Action', 'TopWare Interactive']
DEBUG : 17-02-2021 18:11:58.683 -  [<module>]- ['Crawl', 'PC', 'Action', 'Powerhoof Pty Ltd']
DEBUG : 17-02-2021 18:11:58.683 -  [<module>]- ['Lucky Luke', 'PS', 'Action', 'Infogrames']
DEBUG : 17-02-2021 18:11:58.683 -  [<module>]- ['Mad Hunter', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.684 -  [<module>]- ['Wild 9', 'PS', 'Action', 'Interplay']
DEBUG : 17-02-2021 18:11:58.684 -  [<module>]- ['Covert Ops: Nuclear Dawn', 'PS', 'Action', 'Activision']
DEBUG : 17-02-2021 18:11:58.684 -  [<module>]- ['A grande bagunca espacial - The big space mess', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.684 -  [<module>]- ['KickHim', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.684 -  [<module>]- ['Perfect Weapon', 'PS', 'Action', 'ASC Games']
DEBUG : 17-02-2021 18:11:58.684 -  [<module>]- ['Metal Slug X', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.685 -  [<module>]- ['Critical Depth', 'PS', 'Action', 'GT Interactive']
DEBUG : 17-02-2021 18:11:58.685 -  [<module>]- ['Sparkle 2 Evo', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.685 -  [<module>]- ['Rampage 2: Universal Tour', 'PS', 'Action', 'Midway Games']
DEBUG : 17-02-2021 18:11:58.685 -  [<module>]- ['The Evil Within 2', 'PC', 'Action', 'Bethesda Softworks']
DEBUG : 17-02-2021 18:11:58.685 -  [<module>]- ['ShipLord', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.685 -  [<module>]- ['The Astral Hero', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.685 -  [<module>]- ['Bloodbath Kavkaz', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.686 -  [<module>]- ['Deep Space WAIFU', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.686 -  [<module>]- ['ZombieCarz', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.686 -  [<module>]- ['LEGO Harry Potter: Years 5-7', 'PC', 'Action', 'Warner Bros. Interactive']
DEBUG : 17-02-2021 18:11:58.686 -  [<module>]- ['Jackie Chan: Stuntmaster', 'PS', 'Action', 'Midway Games']
DEBUG : 17-02-2021 18:11:58.686 -  [<module>]- ["LEGO Marvel's Avengers", 'PC', 'Action', 'Warner Bros. Interactive Entertainment']
DEBUG : 17-02-2021 18:11:58.686 -  [<module>]- ['Blocks That Matter', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.686 -  [<module>]- ['DEFIANCE', 'PC', 'Action', 'Trion Worlds']
DEBUG : 17-02-2021 18:11:58.687 -  [<module>]- ['Russian SuperHero Dead Ivan', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.687 -  [<module>]- ['theHunter: Primal', 'PC', 'Action', 'Avalanche Studios']
DEBUG : 17-02-2021 18:11:58.687 -  [<module>]- ['AI: Rampage', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.687 -  [<module>]- ['Guardians of Middle-earth', 'PC', 'Action', 'Unknown']
DEBUG : 17-02-2021 18:11:58.687 -  [<module>]- ['STARUSHKO LUB', 'PC', 'Action', 'Unknown']
